time Receptor Messenger ReceptorActive
0.01 500 2574 0
0.02 500 2574 0
0.03 500 2574 0
0.04 500 2574 0
0.05 500 2574 0
0.06 500 2574 0
0.07 500 2574 0
0.08 500 2574 0
0.09 500 2574 0
0.1 500 2574 0
0.11 500 2574 0
0.12 500 2574 0
0.13 500 2574 0
0.14 500 2574 0
0.15 500 2574 0
0.16 500 2574 0
0.17 500 2574 0
0.18 500 2574 0
0.19 500 2574 0
0.2 500 2574 0
0.21 500 2574 0
0.22 500 2574 0
0.23 500 2574 0
0.24 500 2574 0
0.25 500 2574 0
0.26 500 2574 0
0.27 500 2574 0
0.28 500 2574 0
0.29 500 2574 0
0.3 500 2574 0
0.31 500 2574 0
0.32 500 2574 0
0.33 500 2574 0
0.34 499 2573 1
0.35 498 2572 2
0.36 498 2572 2
0.37 498 2572 2
0.38 498 2572 2
0.39 498 2572 2
0.4 498 2572 2
0.41 497 2571 3
0.42 497 2571 3
0.43 495 2569 5
0.44 495 2569 5
0.45 495 2569 5
0.46 495 2569 5
0.47 495 2569 5
0.48 495 2569 5
0.49 495 2569 5
0.5 495 2569 5
0.51 495 2569 5
0.52 493 2567 7
0.53 493 2567 7
0.54 493 2567 7
0.55 493 2567 7
0.56 493 2567 7
0.57 493 2567 7
0.58 493 2567 7
0.59 493 2567 7
0.6 493 2567 7
0.61 493 2567 7
0.62 493 2567 7
0.63 493 2567 7
0.64 492 2566 8
0.65 491 2565 9
0.66 489 2563 11
0.67 488 2562 12
0.68 488 2562 12
0.69 487 2561 13
0.7 487 2561 13
0.71 487 2561 13
0.72 487 2561 13
0.73 487 2561 13
0.74 485 2559 15
0.75 485 2559 15
0.76 483 2557 17
0.77 483 2557 17
0.78 483 2557 17
0.79 482 2556 18
0.8 482 2556 18
0.81 482 2556 18
0.82 482 2556 18
0.83 482 2556 18
0.84 482 2556 18
0.85 482 2556 18
0.86 482 2556 18
0.87 482 2556 18
0.88 482 2556 18
0.89 481 2555 19
0.9 481 2555 19
0.91 481 2555 19
0.92 481 2555 19
0.93 480 2554 20
0.94 479 2553 21
0.95 479 2553 21
0.96 479 2553 21
0.97 478 2552 22
0.98 476 2550 24
0.99 476 2550 24
1 476 2550 24
1.01 476 4966 24
1.02 477 4967 23
1.03 475 4965 25
1.04 476 4966 24
1.05 476 4966 24
1.06 476 4966 24
1.07 475 4965 25
1.08 476 4966 24
1.09 477 4967 23
1.1 477 4967 23
1.11 478 4968 22
1.12 478 4968 22
1.13 477 4967 23
1.14 477 4967 23
1.15 477 4967 23
1.16 476 4966 24
1.17 476 4966 24
1.18 475 4965 25
1.19 474 4964 26
1.2 474 4964 26
1.21 474 4964 26
1.22 474 4964 26
1.23 474 4963 26
1.24 471 4960 29
1.25 471 4960 29
1.26 471 4960 29
1.27 471 4960 29
1.28 469 4958 31
1.29 469 4958 31
1.3 469 4958 31
1.31 469 4958 31
1.32 469 4958 31
1.33 468 4957 32
1.34 467 4956 33
1.35 465 4954 35
1.36 464 4953 36
1.37 464 4953 36
1.38 464 4953 36
1.39 464 4953 36
1.4 464 4953 36
1.41 463 4952 37
1.42 463 4952 37
1.43 464 4953 36
1.44 462 4951 38
1.45 458 4947 42
1.46 458 4947 42
1.47 456 4945 44
1.48 456 4945 44
1.49 456 4945 44
1.5 455 4944 45
1.51 456 4945 44
1.52 453 4941 47
1.53 453 4941 47
1.54 451 4939 49
1.55 451 4939 49
1.56 450 4938 50
1.57 450 4938 50
1.58 450 4938 50
1.59 451 4939 49
1.6 448 4936 52
1.61 449 4937 51
1.62 447 4935 53
1.63 448 4936 52
1.64 447 4935 53
1.65 446 4934 54
1.66 444 4932 56
1.67 443 4931 57
1.68 444 4931 56
1.69 444 4931 56
1.7 445 4932 55
1.71 442 4929 58
1.72 442 4929 58
1.73 440 4927 60
1.74 439 4926 61
1.75 439 4926 61
1.76 437 4924 63
1.77 437 4924 63
1.78 437 4924 63
1.79 435 4922 65
1.8 436 4923 64
1.81 439 4926 61
1.82 438 4925 62
1.83 437 4924 63
1.84 438 4925 62
1.85 440 4926 60
1.86 441 4927 59
1.87 442 4928 58
1.88 442 4927 58
1.89 444 4929 56
1.9 444 4929 56
1.91 445 4930 55
1.92 445 4930 55
1.93 445 4930 55
1.94 446 4930 54
1.95 445 4929 55
1.96 445 4929 55
1.97 441 4925 59
1.98 440 4924 60
1.99 439 4923 61
2 439 4922 61
2.01 438 7164 62
2.02 437 7163 63
2.03 437 7163 63
2.04 435 7161 65
2.05 434 7160 66
2.06 432 7158 68
2.07 430 7156 70
2.08 431 7157 69
2.09 431 7157 69
2.1 429 7155 71
2.11 430 7156 70
2.12 430 7156 70
2.13 429 7155 71
2.14 430 7156 70
2.15 430 7156 70
2.16 431 7157 69
2.17 431 7157 69
2.18 431 7157 69
2.19 431 7156 69
2.2 429 7154 71
2.21 429 7153 71
2.22 429 7153 71
2.23 428 7152 72
2.24 430 7154 70
2.25 427 7150 73
2.26 427 7150 73
2.27 427 7150 73
2.28 427 7150 73
2.29 425 7147 75
2.3 425 7147 75
2.31 423 7145 77
2.32 423 7144 77
2.33 424 7145 76
2.34 424 7145 76
2.35 423 7144 77
2.36 423 7144 77
2.37 423 7144 77
2.38 422 7143 78
2.39 421 7142 79
2.4 421 7142 79
2.41 423 7143 77
2.42 424 7144 76
2.43 422 7142 78
2.44 420 7140 80
2.45 423 7143 77
2.46 423 7143 77
2.47 420 7139 80
2.48 419 7138 81
2.49 419 7138 81
2.5 417 7136 83
2.51 417 7134 83
2.52 415 7132 85
2.53 415 7131 85
2.54 417 7133 83
2.55 416 7132 84
2.56 415 7131 85
2.57 414 7130 86
2.58 415 7129 85
2.59 414 7128 86
2.6 414 7128 86
2.61 414 7128 86
2.62 415 7129 85
2.63 413 7127 87
2.64 412 7125 88
2.65 411 7123 89
2.66 411 7123 89
2.67 410 7122 90
2.68 408 7120 92
2.69 404 7116 96
2.7 404 7116 96
2.71 404 7116 96
2.72 401 7113 99
2.73 401 7113 99
2.74 402 7114 98
2.75 401 7112 99
2.76 399 7110 101
2.77 397 7107 103
2.78 398 7107 102
2.79 398 7106 102
2.8 396 7104 104
2.81 396 7103 104
2.82 396 7103 104
2.83 396 7103 104
2.84 398 7104 102
2.85 398 7104 102
2.86 397 7102 103
2.87 397 7102 103
2.88 396 7101 104
2.89 396 7101 104
2.9 398 7103 102
2.91 398 7103 102
2.92 398 7102 102
2.93 397 7098 103
2.94 395 7096 105
2.95 399 7100 101
2.96 396 7097 104
2.97 393 7094 107
2.98 390 7091 110
2.99 389 7089 111
3 388 7088 112
3.01 389 7089 111
3.02 388 9152 112
3.03 389 9153 111
3.04 391 9155 109
3.05 393 9157 107
3.06 391 9154 109
3.07 391 9154 109
3.08 388 9151 112
3.09 386 9149 114
3.1 387 9150 113
3.11 389 9152 111
3.12 386 9147 114
3.13 389 9150 111
3.14 388 9148 112
3.15 390 9150 110
3.16 388 9147 112
3.17 388 9147 112
3.18 387 9146 113
3.19 389 9148 111
3.2 389 9148 111
3.21 392 9151 108
3.22 393 9151 107
3.23 394 9152 106
3.24 392 9148 108
3.25 391 9147 109
3.26 389 9145 111
3.27 391 9146 109
3.28 391 9146 109
3.29 391 9146 109
3.3 390 9145 110
3.31 389 9144 111
3.32 388 9143 112
3.33 387 9142 113
3.34 388 9142 112
3.35 391 9144 109
3.36 392 9145 108
3.37 394 9145 106
3.38 395 9146 105
3.39 393 9144 107
3.4 395 9144 105
3.41 393 9142 107
3.42 389 9138 111
3.43 387 9136 113
3.44 387 9136 113
3.45 385 9134 115
3.46 384 9132 116
3.47 384 9132 116
3.48 385 9133 115
3.49 384 9132 116
3.5 379 9127 121
3.51 378 9126 122
3.52 378 9126 122
3.53 379 9127 121
3.54 379 9127 121
3.55 377 9124 123
3.56 381 9127 119
3.57 382 9128 118
3.58 382 9128 118
3.59 381 9126 119
3.6 379 9123 121
3.61 377 9120 123
3.62 378 9121 122
3.63 380 9122 120
3.64 379 9120 121
3.65 381 9122 119
3.66 383 9123 117
3.67 385 9124 115
3.68 386 9124 114
3.69 386 9122 114
3.7 385 9120 115
3.71 386 9120 114
3.72 382 9116 118
3.73 382 9116 118
3.74 379 9113 121
3.75 379 9111 121
3.76 379 9110 121
3.77 377 9108 123
3.78 378 9107 122
3.79 377 9106 123
3.8 376 9103 124
3.81 375 9102 125
3.82 374 9101 126
3.83 375 9101 125
3.84 377 9103 123
3.85 377 9103 123
3.86 376 9100 124
3.87 377 9101 123
3.88 374 9097 126
3.89 373 9096 127
3.9 374 9097 126
3.91 374 9096 126
3.92 371 9092 129
3.93 372 9092 128
3.94 375 9094 125
3.95 372 9091 128
3.96 371 9090 129
3.97 368 9086 132
3.98 369 9087 131
3.99 369 9087 131
4 370 9088 130
4.01 370 9086 130
4.02 375 10976 125
4.03 375 10976 125
4.04 376 10977 124
4.05 377 10977 123
4.06 379 10979 121
4.07 377 10976 123
4.08 378 10977 122
4.09 379 10978 121
4.1 378 10977 122
4.11 381 10979 119
4.12 379 10977 121
4.13 377 10971 123
4.14 377 10970 123
4.15 376 10968 124
4.16 379 10970 121
4.17 379 10969 121
4.18 377 10967 123
4.19 378 10967 122
4.2 378 10967 122
4.21 379 10968 121
4.22 378 10966 122
4.23 378 10966 122
4.24 377 10963 123
4.25 377 10962 123
4.26 376 10961 124
4.27 378 10962 122
4.28 376 10959 124
4.29 375 10957 125
4.3 374 10955 126
4.31 371 10952 129
4.32 371 10950 129
4.33 371 10948 129
4.34 372 10949 128
4.35 372 10948 128
4.36 372 10948 128
4.37 370 10946 130
4.38 368 10943 132
4.39 371 10943 129
4.4 369 10939 131
4.41 369 10939 131
4.42 368 10937 132
4.43 364 10931 136
4.44 361 10927 139
4.45 360 10926 140
4.46 357 10923 143
4.47 358 10922 142
4.48 358 10921 142
4.49 360 10922 140
4.5 361 10923 139
4.51 360 10921 140
4.52 359 10920 141
4.53 360 10918 140
4.54 361 10919 139
4.55 361 10919 139
4.56 363 10920 137
4.57 363 10919 137
4.58 363 10919 137
4.59 365 10920 135
4.6 367 10921 133
4.61 367 10919 133
4.62 367 10918 133
4.63 368 10918 132
4.64 367 10916 133
4.65 368 10917 132
4.66 369 10917 131
4.67 368 10914 132
4.68 368 10914 132
4.69 366 10910 134
4.7 364 10908 136
4.71 364 10908 136
4.72 364 10906 136
4.73 363 10905 137
4.74 362 10902 138
4.75 361 10901 139
4.76 360 10899 140
4.77 356 10895 144
4.78 356 10893 144
4.79 355 10892 145
4.8 355 10891 145
4.81 355 10891 145
4.82 353 10889 147
4.83 351 10885 149
4.84 348 10880 152
4.85 345 10876 155
4.86 346 10877 154
4.87 346 10877 154
4.88 346 10877 154
4.89 345 10875 155
4.9 343 10872 157
4.91 343 10872 157
4.92 340 10868 160
4.93 341 10869 159
4.94 342 10870 158
4.95 340 10867 160
4.96 342 10868 158
4.97 344 10870 156
4.98 348 10874 152
4.99 344 10870 156
5 346 10871 154
5.01 346 10870 154
5.02 348 12588 152
5.03 349 12588 151
5.04 353 12591 147
5.05 355 12593 145
5.06 355 12592 145
5.07 354 12591 146
5.08 354 12589 146
5.09 352 12586 148
5.1 352 12586 148
5.11 351 12581 149
5.12 351 12580 149
5.13 354 12580 146
5.14 354 12577 146
5.15 356 12578 144
5.16 356 12575 144
5.17 355 12574 145
5.18 358 12576 142
5.19 358 12576 142
5.2 360 12577 140
5.21 361 12575 139
5.22 361 12574 139
5.23 361 12574 139
5.24 363 12576 137
5.25 362 12575 138
5.26 363 12574 137
5.27 364 12574 136
5.28 363 12572 137
5.29 359 12567 141
5.3 358 12565 142
5.31 356 12562 144
5.32 355 12561 145
5.33 356 12560 144
5.34 355 12556 145
5.35 354 12553 146
5.36 356 12553 144
5.37 355 12552 145
5.38 356 12552 144
5.39 356 12550 144
5.4 356 12550 144
5.41 356 12550 144
5.42 355 12548 145
5.43 351 12541 149
5.44 351 12537 149
5.45 350 12535 150
5.46 350 12533 150
5.47 347 12528 153
5.48 348 12528 152
5.49 349 12526 151
5.5 349 12524 151
5.51 349 12523 151
5.52 346 12519 154
5.53 346 12516 154
5.54 347 12517 153
5.55 345 12513 155
5.56 343 12509 157
5.57 345 12510 155
5.58 345 12508 155
5.59 342 12505 158
5.6 344 12507 156
5.61 346 12507 154
5.62 346 12503 154
5.63 345 12501 155
5.64 345 12499 155
5.65 346 12498 154
5.66 344 12494 156
5.67 345 12495 155
5.68 345 12494 155
5.69 346 12495 154
5.7 350 12498 150
5.71 348 12495 152
5.72 346 12490 154
5.73 348 12491 152
5.74 349 12491 151
5.75 351 12491 149
5.76 349 12487 151
5.77 347 12483 153
5.78 347 12482 153
5.79 344 12477 156
5.8 347 12480 153
5.81 347 12478 153
5.82 349 12475 151
5.83 352 12474 148
5.84 354 12475 146
5.85 353 12472 147
5.86 352 12470 148
5.87 353 12471 147
5.88 353 12467 147
5.89 349 12462 151
5.9 349 12462 151
5.91 348 12460 152
5.92 346 12458 154
5.93 346 12457 154
5.94 342 12450 158
5.95 344 12451 156
5.96 344 12449 156
5.97 341 12444 159
5.98 340 12440 160
5.99 344 12442 156
6 344 12441 156
6.01 345 12440 155
6.02 346 13993 154
6.03 345 13991 155
6.04 347 13991 153
6.05 348 13992 152
6.06 349 13992 151
6.07 348 13989 152
6.08 345 13986 155
6.09 340 13981 160
6.1 337 13975 163
6.11 334 13972 166
6.12 335 13970 165
6.13 335 13970 165
6.14 334 13969 166
6.15 335 13969 165
6.16 335 13969 165
6.17 336 13970 164
6.18 337 13971 163
6.19 335 13966 165
6.2 329 13958 171
6.21 327 13954 173
6.22 327 13952 173
6.23 332 13956 168
6.24 335 13959 165
6.25 332 13953 168
6.26 336 13957 164
6.27 337 13956 163
6.28 339 13957 161
6.29 341 13958 159
6.3 341 13956 159
6.31 339 13954 161
6.32 341 13955 159
6.33 341 13954 159
6.34 342 13954 158
6.35 342 13952 158
6.36 342 13951 158
6.37 344 13952 156
6.38 345 13952 155
6.39 342 13948 158
6.4 341 13942 159
6.41 341 13941 159
6.42 340 13939 160
6.43 339 13938 161
6.44 337 13934 163
6.45 337 13933 163
6.46 336 13930 164
6.47 336 13928 164
6.48 336 13927 164
6.49 336 13926 164
6.5 337 13923 163
6.51 340 13925 160
6.52 342 13926 158
6.53 341 13925 159
6.54 342 13926 158
6.55 338 13917 162
6.56 339 13916 161
6.57 337 13912 163
6.58 337 13910 163
6.59 340 13912 160
6.6 340 13910 160
6.61 339 13906 161
6.62 337 13900 163
6.63 339 13901 161
6.64 340 13901 160
6.65 338 13896 162
6.66 340 13895 160
6.67 340 13895 160
6.68 337 13890 163
6.69 334 13884 166
6.7 334 13882 166
6.71 336 13883 164
6.72 331 13875 169
6.73 331 13872 169
6.74 330 13869 170
6.75 330 13867 170
6.76 328 13862 172
6.77 328 13861 172
6.78 324 13855 176
6.79 323 13850 177
6.8 321 13847 179
6.81 325 13850 175
6.82 324 13846 176
6.83 323 13845 177
6.84 326 13847 174
6.85 327 13848 173
6.86 325 13844 175
6.87 325 13841 175
6.88 327 13840 173
6.89 326 13837 174
6.9 326 13834 174
6.91 326 13830 174
6.92 325 13824 175
6.93 325 13824 175
6.94 324 13818 176
6.95 325 13816 175
6.96 323 13812 177
6.97 324 13813 176
6.98 323 13811 177
6.99 323 13809 177
7 324 13809 176
7.01 324 13806 176
7.02 325 15207 175
7.03 327 15207 173
7.04 330 15206 170
7.05 328 15203 172
7.06 329 15204 171
7.07 329 15201 171
7.08 325 15195 175
7.09 324 15193 176
7.1 326 15193 174
7.11 326 15189 174
7.12 324 15185 176
7.13 321 15178 179
7.14 322 15178 178
7.15 319 15174 181
7.16 321 15174 179
7.17 320 15172 180
7.18 321 15172 179
7.19 322 15171 178
7.2 322 15167 178
7.21 321 15164 179
7.22 317 15156 183
7.23 318 15156 182
7.24 322 15159 178
7.25 321 15155 179
7.26 318 15149 182
7.27 317 15146 183
7.28 319 15146 181
7.29 315 15142 185
7.3 319 15143 181
7.31 318 15137 182
7.32 320 15138 180
7.33 320 15137 180
7.34 319 15135 181
7.35 317 15130 183
7.36 319 15130 181
7.37 316 15124 184
7.38 317 15122 183
7.39 318 15122 182
7.4 317 15119 183
7.41 318 15118 182
7.42 317 15117 183
7.43 318 15115 182
7.44 318 15112 182
7.45 320 15112 180
7.46 318 15107 182
7.47 322 15110 178
7.48 321 15106 179
7.49 320 15105 180
7.5 319 15103 181
7.51 319 15102 181
7.52 319 15098 181
7.53 321 15097 179
7.54 323 15096 177
7.55 324 15095 176
7.56 321 15092 179
7.57 323 15091 177
7.58 323 15087 177
7.59 326 15088 174
7.6 325 15082 175
7.61 327 15081 173
