time Receptor Messenger ReceptorActive
0.01 500 2463 0
0.02 500 2463 0
0.03 500 2463 0
0.04 500 2463 0
0.05 500 2463 0
0.06 500 2463 0
0.07 500 2463 0
0.08 500 2463 0
0.09 500 2463 0
0.1 500 2463 0
0.11 500 2463 0
0.12 500 2463 0
0.13 500 2463 0
0.14 500 2463 0
0.15 500 2463 0
0.16 500 2463 0
0.17 500 2463 0
0.18 500 2463 0
0.19 500 2463 0
0.2 500 2463 0
0.21 500 2463 0
0.22 500 2463 0
0.23 500 2463 0
0.24 500 2463 0
0.25 500 2463 0
0.26 500 2463 0
0.27 500 2463 0
0.28 500 2463 0
0.29 500 2463 0
0.3 500 2463 0
0.31 500 2463 0
0.32 500 2463 0
0.33 500 2463 0
0.34 500 2463 0
0.35 499 2462 1
0.36 499 2462 1
0.37 497 2460 3
0.38 497 2460 3
0.39 496 2459 4
0.4 495 2458 5
0.41 494 2457 6
0.42 494 2457 6
0.43 494 2457 6
0.44 493 2456 7
0.45 492 2455 8
0.46 492 2455 8
0.47 492 2455 8
0.48 492 2455 8
0.49 492 2455 8
0.5 492 2455 8
0.51 492 2455 8
0.52 492 2455 8
0.53 491 2454 9
0.54 491 2454 9
0.55 491 2454 9
0.56 490 2453 10
0.57 490 2453 10
0.58 489 2452 11
0.59 489 2452 11
0.6 489 2452 11
0.61 489 2452 11
0.62 489 2452 11
0.63 489 2452 11
0.64 489 2452 11
0.65 488 2451 12
0.66 488 2451 12
0.67 488 2451 12
0.68 487 2450 13
0.69 485 2448 15
0.7 484 2447 16
0.71 484 2447 16
0.72 484 2447 16
0.73 484 2447 16
0.74 484 2447 16
0.75 483 2446 17
0.76 483 2446 17
0.77 481 2444 19
0.78 481 2444 19
0.79 481 2444 19
0.8 480 2443 20
0.81 479 2442 21
0.82 479 2442 21
0.83 478 2441 22
0.84 476 2439 24
0.85 476 2439 24
0.86 474 2437 26
0.87 474 2437 26
0.88 474 2437 26
0.89 474 2437 26
0.9 473 2436 27
0.91 473 2436 27
0.92 474 2437 26
0.93 473 2436 27
0.94 471 2434 29
0.95 470 2433 30
0.96 470 2433 30
0.97 470 2433 30
0.98 471 2434 29
0.99 471 2434 29
1 470 2433 30
1.01 469 5159 31
1.02 469 5159 31
1.03 469 5159 31
1.04 469 5159 31
1.05 470 5160 30
1.06 470 5160 30
1.07 470 5160 30
1.08 471 5161 29
1.09 470 5160 30
1.1 469 5159 31
1.11 469 5159 31
1.12 470 5160 30
1.13 468 5158 32
1.14 468 5158 32
1.15 466 5156 34
1.16 466 5156 34
1.17 465 5155 35
1.18 464 5154 36
1.19 464 5154 36
1.2 462 5152 38
1.21 462 5152 38
1.22 461 5151 39
1.23 462 5152 38
1.24 463 5153 37
1.25 462 5151 38
1.26 463 5152 37
1.27 463 5152 37
